start_frame;end_frame;narration
152;274;take bin
310;393;put down bin
511;556;take bag
554;691;unroll bag
1163;1633;open bag
1381;1994;continue opening bag
2153;2266;open bin
2274;2368;take banana skin
2374;2457;put banana skin into bag
2463;2816;put bag in to bin
2822;2919;close bin
2924;2999;move bin
3064;3360;lift bin
3102;3358;take bins
3251;3783;move bins
3357;3456;put down bins
3789;3883;take soy milk
3893;4118;crush soy milk
4293;4362;put soy milk into bin
4519;4611;take can and paper
4654;4800;crush can
4785;4839;put can into bin
4843;5068;tear paper
5035;5086;put paper into bin
5337;5448;take cup and spoon
5465;5538;open cupboard
5512;5580;put cup into cupboard
5557;5614;close cupboard
5735;5795;open drawer
5787;5820;put spoon into drawer
5826;5882;close drawer
6024;6140;open fridge
6161;6280;take plate
6306;6400;put down plate
6615;6690;take mushrooms
6671;6709;put down mushrooms
6911;6986;open drawer
6970;7129;looking for something
7111;7165;close drawer
7245;7325;take container
7361;7451;take mushrooms
7491;7563;put down mushrooms and container
7583;7648;take bowl
7850;7963;put down bowl
8021;8110;take container
8147;8182;open container
8188;8218;close container
8369;8534;put down pasta
8527;8565;pull down container
8797;8893;take mushroom
8904;8947;put down mushroom
8974;9004;open container
9079;9181;put container into fridge
9182;9306;take aubergine and celery
9357;9472;put down celery
9616;9738;take mozzarella
9742;9817;move mushrooms
9795;9966;take pasta
9958;9988;put down pasta
10110;10396;looking for something
10478;10635;take container
10573;10648;put down mozzarella
10632;10717;put down aubergine
10713;10812;open container
10791;10838;close container
10840;10890;take mozzarella
10896;11023;take tomato sauce
11029;11217;close fridge
11317;11595;put down tomato sauce mozzarella and container
11604;11706;open cupboard
11732;11852;take cutting board
11850;11903;put down cutting board
11924;12074;take pan
12100;12216;put down pan
12110;12290;close cupboard
12218;12301;close cupboard
12346;12420;open container
12448;12489;take aubergine
12465;12502;put down aubergine
12543;12631;put down container
12685;12816;move cutting board
12897;12990;take olive oil
12966;13087;open oil
13083;13459;pour oil into pan
13477;13556;close oil
13583;13673;put down oil
13693;13744;turn on hob
13891;13944;open drawer
13981;14046;take knife
14042;14095;close drawer
14218;14504;cut aubergine
14566;15141;continue cutting aubergine
15270;15820;dicing aubergine
16229;16795;continue dicing aubergine
17218;17721;continue dicing aubergine
17836;18375;still dicing aubergine
18549;18601;put down knife
18977;19025;open bin
19011;19041;throw aubergine end into bin
19157;19232;check oil
19359;19451;take kettle
19488;19546;open kettle
19561;19700;turn on tap
19706;20336;pour water into kettle
20065;20333;turn off tap
20338;20388;close kettle
20356;20565;put down kettle
20581;20632;turn on kettle
20743;20821;open cupboard
20863;21175;take colander
21121;21244;put down colander
21235;21430;put lid into cupboard
21427;21538;close cupboard
21544;21637;put down pan
21811;22284;pour aubergine into pan
