start_frame;stop_frame;narration
0;164;no_action
164;194;person_enters_scene
194;224;reach_for_spice_grinder
224;254;pick_up_spice_grinder
254;284;hold_spice_grinder
284;314;adjust_spice_grinder
314;434;grind_spices
434;464;place_spice_grinder_down
464;614;move_hands_away
614;644;reach_for_tomato
644;674;pick_up_tomato
674;704;pick_up_knife
704;734;position_tomato_on_board
734;764;slice_tomato
764;794;adjust_tomato
794;824;slice_tomato
824;854;adjust_tomato
854;884;slice_tomato
884;914;adjust_tomato
914;944;slice_tomato
944;974;adjust_tomato
974;1004;slice_tomato
1004;1034;adjust_tomato
1034;1064;slice_tomato
1064;1094;adjust_tomato
1094;1124;slice_tomato
1124;1154;adjust_tomato
1154;1184;slice_tomato
1184;1214;adjust_tomato
1214;1244;slice_tomato
1244;1274;adjust_tomato
1274;1304;slice_tomato
1304;1334;adjust_tomato
1334;1364;slice_tomato
1364;1394;adjust_tomato
1394;1424;slice_tomato
1424;1454;adjust_tomato
1454;1484;slice_tomato
1484;1514;adjust_tomato
1514;1544;slice_tomato
1544;1574;adjust_tomato
1574;1604;slice_tomato
1604;1634;adjust_tomato
1634;1664;slice_tomato
1664;1694;adjust_tomato
1694;1724;slice_tomato
1724;1754;adjust_tomato
1754;1784;slice_tomato
1784;1814;adjust_tomato
1814;1844;slice_tomato
1844;1874;adjust_tomato
1874;1904;slice_tomato
1904;1934;adjust_tomato
1934;1964;slice_tomato
1964;1994;adjust_tomato
1994;2024;slice_tomato
2024;2054;adjust_tomato
2054;2084;slice_tomato
2084;2114;adjust_tomato
2114;2144;slice_tomato
2144;2174;adjust_tomato
2174;2204;slice_tomato
2204;2234;move_knife
2234;2264;move_bowl
2264;2294;push_tomato_into_bowl
2294;2324;scrape_tomato_into_bowl
2324;2354;scrape_tomato_into_bowl
2354;2384;scrape_tomato_into_bowl
2384;2414;scrape_tomato_into_bowl
2414;2444;scrape_tomato_into_bowl
2444;2474;scrape_tomato_into_bowl
2474;2504;scrape_tomato_into_bowl
2504;2534;scrape_tomato_into_bowl
2534;2564;scrape_tomato_into_bowl
2564;2594;scrape_tomato_into_bowl
2594;2624;scrape_tomato_into_bowl
2624;2654;scrape_tomato_into_bowl
2654;2684;scrape_tomato_into_bowl
2684;2714;scrape_tomato_into_bowl
2714;2744;scrape_tomato_into_bowl
2744;2774;scrape_tomato_into_bowl
2774;2804;scrape_tomato_into_bowl
2804;2834;scrape_tomato_into_bowl
2834;2864;scrape_tomato_into_bowl
2864;2894;scrape_tomato_into_bowl
2894;2924;scrape_tomato_into_bowl
2924;2954;scrape_tomato_into_bowl
2954;2984;scrape_tomato_into_bowl
2984;3014;scrape_tomato_into_bowl
3014;3044;scrape_tomato_into_bowl
3044;3074;scrape_tomato_into_bowl
3074;3104;scrape_tomato_into_bowl
3104;3134;scrape_tomato_into_bowl
3134;3164;scrape_tomato_into_bowl
3164;3194;scrape_tomato_into_bowl
3194;3224;scrape_tomato_into_bowl
3224;3254;scrape_tomato_into_bowl
3254;3284;scrape_tomato_into_bowl
3284;3314;scrape_tomato_into_bowl
3314;3344;scrape_tomato_into_bowl
3344;3374;scrape_tomato_into_bowl
3374;3404;scrape_tomato_into_bowl
3404;3434;scrape_tomato_into_bowl
3434;3464;scrape_tomato_into_bowl
3464;3494;place_knife_down
3494;3524;reach_for_cheese
3524;3554;pick_up_cheese
3554;3584;hold_cheese
3584;3614;open_cheese_package
3614;3644;remove_cheese_from_package
3644;3674;remove_cheese_from_package
3674;3704;hold_cheese_and_grater
3704;3734;position_cheese_for_grating
3734;3764;grate_cheese
3764;3794;grate_cheese
3794;3824;grate_cheese
3824;3854;grate_cheese
3854;3884;grate_cheese
3884;3914;grate_cheese
3914;3944;place_grater_down
3944;3974;place_cheese_down
3974;4004;scrape_cheese_into_bowl
4004;4034;scrape_cheese_into_bowl
4034;4064;scrape_cheese_into_bowl
4064;4094;scrape_cheese_into_bowl
4094;4124;scrape_cheese_into_bowl
4124;4154;scrape_cheese_into_bowl
4154;4184;scrape_cheese_into_bowl
4184;4214;scrape_cheese_into_bowl
4214;4244;scrape_cheese_into_bowl
4244;4274;scrape_cheese_into_bowl
4274;4304;scrape_cheese_into_bowl
4304;4334;scrape_cheese_into_bowl
4334;4364;scrape_cheese_into_bowl
4364;4394;scrape_cheese_into_bowl
4394;4424;scrape_cheese_into_bowl
4424;4454;scrape_cheese_into_bowl
4454;4484;scrape_cheese_into_bowl
4484;4514;scrape_cheese_into_bowl
4514;4544;scrape_cheese_into_bowl
4544;4574;scrape_cheese_into_bowl
4574;4604;scrape_cheese_into_bowl
4604;4634;scrape_cheese_into_bowl
4634;4664;scrape_cheese_into_bowl
4664;4694;scrape_cheese_into_bowl
4694;4724;scrape_cheese_into_bowl
4724;4754;scrape_cheese_into_bowl
4754;4784;scrape_cheese_into_bowl
4784;4814;scrape_cheese_into_bowl
4814;4844;scrape_cheese_into_bowl
4844;4874;scrape_cheese_into_bowl
4874;4904;scrape_cheese_into_bowl
4904;4934;scrape_cheese_into_bowl
4934;4964;scrape_cheese_into_bowl
4964;4994;scrape_cheese_into_bowl
4994;5024;scrape_cheese_into_bowl
5024;5054;scrape_cheese_into_bowl
5054;5084;scrape_cheese_into_bowl
5084;5114;scrape_cheese_into_bowl
5114;5144;scrape_cheese_into_bowl
5144;5174;scrape_cheese_into_bowl
5174;5204;scrape_cheese_into_bowl
5204;5234;scrape_cheese_into_bowl
5234;5264;scrape_cheese_into_bowl
5264;5294;scrape_cheese_into_bowl
5294;5324;scrape_cheese_into_bowl
5324;5354;scrape_cheese_into_bowl
5354;5384;scrape_cheese_into_bowl
5384;5414;scrape_cheese_into_bowl
5414;5444;scrape_cheese_into_bowl
5444;5474;scrape_cheese_into_bowl
5474;5504;scrape_cheese_into_bowl
5504;5534;place_grater_down
5534;5564;place_knife_down
5564;5594;reach_for_lettuce
5594;5624;pick_up_lettuce_bag
5624;5654;open_lettuce_bag
5654;5684;remove_lettuce_from_bag
5684;5714;tear_lettuce
5714;5744;place_lettuce_on_board
5744;5774;tear_lettuce
5774;5804;tear_lettuce
5804;5834;tear_lettuce
5834;5864;tear_lettuce
5864;5894;tear_lettuce
5894;5924;tear_lettuce
5924;5954;tear_lettuce
5954;5984;tear_lettuce
5984;6014;tear_lettuce
6014;6044;tear_lettuce
6044;6074;tear_lettuce
6074;6104;tear_lettuce
6104;6134;tear_lettuce
6134;6164;tear_lettuce
6164;6194;tear_lettuce
6194;6224;tear_lettuce
6224;6254;tear_lettuce
6254;6284;tear_lettuce
6284;6314;tear_lettuce
6314;6344;tear_lettuce
6344;6374;tear_lettuce
6374;6404;tear_lettuce
