start_frame;stop_frame;narration
14;173;idle
174;203;reach_for_grinder
204;253;move_grinder_towards_hand
254;283;grasp_grinder
284;303;lift_grinder
304;373;adjust_grinder_grip
374;433;grind_pepper
434;453;lower_grinder
454;493;place_grinder_on_table
494;603;idle
604;623;reach_for_tomato
624;643;grasp_tomato
644;663;lift_tomato
664;673;place_tomato_on_board
674;693;reach_for_knife
694;703;grasp_knife
704;733;lift_knife
734;823;slice_tomato_in_half
824;863;reposition_tomato_halves
864;973;slice_first_tomato_half
974;1003;reposition_sliced_tomato_pieces
1004;1153;slice_second_tomato_half
1154;1173;reach_for_bowl
1174;1203;adjust_bowl_position
1204;1213;reposition_knife_on_board
1214;1243;transfer_tomato_to_bowl
1244;1273;reposition_knife_and_remaining_tomato
1274;1393;slice_remaining_tomato_pieces
1394;1423;transfer_tomato_to_bowl
1424;1453;reposition_knife_on_board
1454;1503;slice_remaining_tomato_pieces
1504;1533;transfer_tomato_to_bowl
1534;1563;reposition_knife_on_board
1564;1623;slice_remaining_tomato_pieces
1624;1653;transfer_tomato_to_bowl
1654;1683;reposition_knife_on_board
1684;1743;slice_remaining_tomato_pieces
1744;1773;transfer_tomato_to_bowl
1774;1803;reposition_knife_on_board
1804;1863;clear_cutting_board
1864;1923;slice_last_tomato_scraps
1924;1963;transfer_last_tomato_scraps_to_bowl
1964;2016;clear_cutting_board

