start_frame;stop_frame;narration
230;482;cut_cheese
482;513;place_cheese_into_bowl
523;688;cut_tomato
688;709;place_tomato_into_bowl
709;716;cut_tomato
716;726;place_tomato_into_bowl
728;739;mix_ingredients
739;748;place_tomato_into_bowl
754;865;cut_lettuce
865;890;place_lettuce_into_bowl
894;951;cut_lettuce
951;996;place_lettuce_into_bowl
1002;1272;peel_cucumber
1272;1386;cut_cucumber
1386;1396;place_cucumber_into_bowl
1399;1439;cut_cucumber
1439;1466;place_cucumber_into_bowl
1491;1571;add_vinegar
1491;1729;prepare_dressing
1571;1598;add_vinegar
1599;1647;add_oil
1650;1680;add_salt
1679;1729;add_pepper
1729;1749;mix_ingredients
1729;1858;cut_and_mix_ingredients
1749;1858;mix_ingredients
1858;1965;serve_salad_onto_plate
