start_frame;stop_frame;narration
1315;2030;cut_tomato
2030;2265;place_tomato_into_bowl
2360;3280;peel_cucumber
3325;4000;cut_cucumber
4000;4145;place_cucumber_into_bowl
4255;5105;cut_cheese
5105;5365;place_cheese_into_bowl
5450;5820;cut_lettuce
5840;6150;cut_lettuce
6150;6375;place_lettuce_into_bowl
6395;6435;mix_ingredients_prep
6435;6635;mix_ingredients_core
6635;6735;mix_ingredients_post
6745;6955;add_vinegar
6745;7855;prepare_dressing
6925;7175;add_oil
7145;7310;add_salt
7295;7500;add_pepper
7515;7855;mix_dressing
7885;8265;serve_salad_onto_plate
7885;8265;serve_salad
