start_frame;stop_frame;narration
305;2865;peel_cucumber
2885;3160;place_cucumber_into_bowl
3200;4135;cut_lettuce
4140;4280;place_lettuce_into_bowl
4290;4775;cut_cheese
4775;4850;place_cheese_into_bowl
4890;5655;cut_tomato
5660;5690;place_tomato_into_bowl
5770;5785;mix_ingredients_prep
5785;6110;mix_ingredients_core
6110;6160;mix_ingredients_post
6185;8045;prepare_dressing
6340;6805;add_oil
6815;7215;add_vinegar
7225;7355;add_pepper
7365;7550;add_salt
7565;8045;mix_dressing
8075;8525;serve_salad_onto_plate
8075;8995;serve_salad
8660;8995;add_dressing
